0.300	1.47591683
0.310	1.46229826
0.320	1.45253483
0.330	1.47554626
0.340	1.52804546
0.350	1.59251762
0.360	1.65582869
0.370	1.71258044
0.380	1.76149586
0.390	1.80248321
0.400	1.8354667
0.410	1.86013157
0.420	1.87598198
0.430	1.8825106
0.440	1.87947468
0.450	1.86735364
0.460	1.84810471
0.470	1.82633726
0.480	1.81087472
0.490	1.81597106
0.500	1.85960044
0.510	1.95507331
0.520	2.0997243
0.530	2.27488676
0.540	2.4573873
0.550	2.62564303
0.560	2.76461828
0.570	2.88783698
0.580	3.00088513
0.590	3.10632491
0.600	3.20564914
0.610	3.29982985
0.620	3.3895475
0.630	3.47530492
0.640	3.5574904
0.650	3.63641514
0.660	3.71233665
0.670	3.785474
0.680	3.856018
0.690	3.92413821
0.700	3.98998782
0.710	4.05370708
0.720	4.11542586
0.730	4.17526541
0.740	4.2333397
0.750	4.28975641
0.760	4.34461768
0.770	4.39802063
0.780	4.45005786
0.790	4.5008177
0.800	4.55038456
0.810	4.59883907
0.820	4.64625832
0.830	4.69271597
0.840	4.7382824
0.850	4.78302486
0.860	4.8270075
0.870	4.87029155
0.880	4.91293537
0.890	4.95499456
0.900	4.99652205
0.910	5.03756817
0.920	5.07818076
0.930	5.11840523
0.940	5.15828466
0.950	5.19785985
0.960	5.23716946
0.970	5.27625
0.980	5.315136
0.990	5.35386002
1.000	5.39245272
1.010	5.43094301
1.020	5.46935801
1.030	5.50772322
1.040	5.54606251
1.050	5.58439823
1.060	5.62275126
1.070	5.66114108
1.080	5.69958583
1.090	5.73810234
1.100	5.77670622
1.110	5.81541193
1.120	5.85423278
1.130	5.89318104
1.140	5.93226793
1.150	5.97150373
1.160	6.01089779
1.170	6.05045859
1.180	6.09019378
1.190	6.13011023
1.200	6.17021404
1.210	6.21051064
1.220	6.25100477
1.230	6.29170054
1.240	6.33260148
1.250	6.37371055
1.260	6.41503019
1.270	6.45656235
1.280	6.4983085
1.290	6.54026968
1.300	6.58244654
1.310	6.62483933
1.320	6.66744796
1.330	6.71027199
1.340	6.7533107
1.350	6.79656306
1.360	6.84002779
1.370	6.88370338
1.380	6.92758808
1.390	6.97167992
1.400	7.01597678
1.410	7.06047634
1.420	7.10517613
1.430	7.15007355
1.440	7.19516586
1.450	7.24045022
1.460	7.28592366
1.470	7.33158316
1.480	7.37742559
1.490	7.42344776
1.500	7.46964644
1.510	7.51601831
1.520	7.56256005
1.530	7.60926829
1.540	7.65613962
1.550	7.70317063
1.560	7.7503579
1.570	7.79769799
1.580	7.84518746
1.590	7.89282287
1.600	7.94060081
1.610	7.98851787
1.620	8.03657064
1.630	8.08475576
1.640	8.13306988
1.650	8.18150966
1.660	8.23007182
1.670	8.27875309
1.680	8.32755025
1.690	8.3764601
1.700	8.42547949
1.710	8.47460531
1.720	8.52383447
1.730	8.57316395
1.740	8.62259076
1.750	8.67211194
1.760	8.72172461
1.770	8.77142591
1.780	8.82121302
1.790	8.87108318
1.800	8.92103367
1.810	8.97106183
1.820	9.02116503
1.830	9.07134069
1.840	9.12158627
1.850	9.17189929
1.860	9.22227732
1.870	9.27271796
1.880	9.32321885
1.890	9.37377771
1.900	9.42439225
1.910	9.47506028
1.920	9.52577962
1.930	9.57654815
1.940	9.62736376
1.950	9.67822443
1.960	9.72912814
1.970	9.78007294
1.980	9.8310569
1.990	9.88207814
2.000	9.93313482
